u,index,original,predicted_stage3,stage4_valid,reduced_tokens,text
2,196,1,1,0,text caps text caps caps text caps text contact contact text,fanáticos de los deportes: obtenga las últimas noticias deportivas str* 2 ur mobile 1 semana GRATIS MÁS un TONO GRATIS Envíe un mensaje de texto con SPORT ON al 8007 www.getzed.co.uk 0870141701216+ norma 4txt/120p
2,209,0,1,0,text caps text caps caps caps caps,"Ella es nuestra hermana. Pertenece a nuestra familia. Ella es la esperanza del mañana. Oren por ella, que estaba destinada al incidente del tren de Shoranur. Juntemos nuestras manos &amp; impulsado por el amor y preocupación antes 2 su dolor y amp; dolor. Por favor únete a esta cadena &amp; Pásalo. DETENER LA VIOLENCIA CONTRA LAS MUJERES."
2,214,1,1,0,caps text caps text money text contact text,"¡URGENTE! Su número de móvil **************** ¡GANÓ un premio de bonificación de £2000 para llamadas el 06/10/03! ¡Este es el segundo intento de comunicarnos con usted! ¡Llame al 09066368753 lo antes posible! Caja 97N7QP, 150 ppm"
2,229,1,1,0,text caps contact caps text caps text,"¡Alguien tímido ha solicitado nuestro servicio de citas! LLAME 09058091870 AHORA todo será revelado. POBox84, M26 3UZ 150p"
2,235,0,1,0,caps caps caps caps caps text caps caps caps caps caps caps caps text caps caps caps caps text,"\ AHORA POR LLAMADA BABE. SOZI NO PUEDE HABLAR PERO QUIERO CONTARTE LOS DETALLES MÁS TARDE WENWECAN CHAT CORRECTAMENTE X \ """""
2,257,0,1,0,caps text caps caps caps caps caps caps caps,MIRA EL PUTO TIEMPO. QUE MIERDA CREES QUE PASA
2,261,1,1,0,caps text money text contact text,"¡¡GANADOR!! Como valioso cliente de la red, ha sido seleccionado para recibir un premio de £900. Para reclamar llame al 09061701461. Código de reclamo KL341. Válido sólo 12 horas."
2,300,1,1,0,text caps text money text,"Mila, 23 años, rubia, nueva en Reino Unido. Busco sexo con chicos del Reino Unido. si te gusta divertirte conmigo. Envíe MTALK al 69866.18. 30pp/txt 1º 5gratis. En incrementos de £1,50. Ayuda08718728876"
2,315,1,1,0,caps caps caps text contact text caps text,"HOT LIVE FANTASIES llame ahora al 08707500020 Solo 20 peniques por minuto NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 es una llamada con tarifa nacional"
2,317,1,1,0,caps text money text contact caps text,"¡URGENTE! Su número de móvil recibió un premio adicional de £2000 para llamadas el 9 de mayo de 2003. ¡Éste es nuestro último intento de contactarlo! Llamada desde Fijo 09064019788 BOX42WR29C, 150PPM"
2,319,1,1,0,text contact text contact,Anuncio de atención al cliente. Recientemente intentamos realizarle una entrega pero no pudimos hacerlo. Llame al 07099833605 para reprogramar. Ref:9280114
2,322,0,1,0,text caps caps caps caps text caps caps caps caps caps caps caps text caps caps caps text caps caps text caps text caps caps,"OH RITO. BUENO ESTOY CON MI MEJOR COMPAÑERO PETE, CON QUIEN SALÍ 4 A LA SEMANA+ AHORA ERA 2GEVA OTRA VEZ. HA PASADO MÁS DE UNA SEMANA."
2,325,1,1,0,caps text caps text contact text,¡PRIVADO! Su estado de cuenta de 2003 para 07808 XXXXXX muestra 800 puntos S. I. M. no canjeados. Llamar 08719899217 Código Identificador: 41685 Vence el 11/07/04
2,331,1,1,0,text contact caps text,"Esta es la segunda vez que intentamos comunicarnos con usted. Has ganado el premio de 400 £. 2 reclamar es fácil, ¡solo llama al 087104711148 AHORA! Sólo 10p por minuto. BT-tarifa-nacional"
2,343,1,1,0,text caps caps text caps caps text contact text,8007 25p 4 La canción Children in Need de Alfie Moon en tu mafia. Dile a tus m8. Envíe un mensaje de texto con TONE CHARITY al 8007 para nokias o POLY CHARITY para polis :zed 08701417012 beneficio 2 caridad
2,345,1,1,0,text contact text money text caps text,¡Urgente! Por favor llame al 09061213237 desde un teléfono fijo. å£5000 en efectivo o unas vacaciones de 4* esperan su recogida. Términos y condiciones SAE PO Box 177 M227XY. 16+
2,349,0,1,0,text caps caps caps caps caps,DÍLE QUE DIJE QUE COMA MIERDA.
2,352,1,1,0,text caps text caps text caps text,Has ganado un nokia 6230 y una cámara digital gratuita. Esto es lo que obtienes cuando ganas nuestra subasta GRATUITA. Para participar envía NOKIA al 83383 ahora. POBOX114/14TCR/W1 16
2,360,1,1,0,caps caps caps text contact text caps text,"HOT LIVE FANTASIES llame ahora al 08707509020 Solo 20 peniques por minuto NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 es una llamada con tarifa nacional"
2,365,1,1,0,text contact,"Gracias por su pedido de tono de llamada, número de referencia R836. Se cargará a tu móvil 4,50 £. Si su tono no llega, llame a atención al cliente al 09065069154"
2,367,1,1,0,contact text caps text caps text contact text,07732584351 - Rodger Burns - MSG = Intentamos llamarlo para responder a nuestro SMS y solicitar un móvil Nokia + una videocámara gratis. Por favor llame ahora al 08000930705 para la entrega mañana.
2,371,1,1,0,caps caps text contact text,MENSAJE GRATUITO: facturamos su número de teléfono móvil por error desde el código corto 83332. Llame al 08081263000 para que se le reembolsen los cargos. Esta llamada será gratuita desde un teléfono fijo de BT
2,376,1,1,0,text contact,¿Quiere que le entreguen mañana el nuevo teléfono Nokia 3510i en color? Con 300 minutos gratis a cualquier móvil + 100 mensajes de texto gratis + Videocámara Gratis responde o llama al 08000930705
2,404,1,1,0,text caps caps caps text,¡Faltan 18 días para el inicio de la Eurocopa 2004! Se le mantendrá informado diariamente de las últimas novedades y resultados. Darse de baja enviar GET EURO STOP al 83222.
2,408,1,1,0,text money text caps text money text,"Urgent UR otorgó un viaje de cortesía a EuroDisinc Trav, Aco&Entry41 o å£1000. Para reclamar, envíe un mensaje de texto DIS al 87121 18+6*å £1,50 (moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
2,412,1,1,0,text contact text caps text contact,"5 Tonos Polifónicos Superiores Gratis llama al 087018728737, Tarifa Nacional. Reciba una melodía de toppoly cada semana, simplemente envíe un mensaje de texto con SUBPOLY al 81618, £ 3 por poste. SuSub 08718727870."
2,415,1,1,0,text caps text contact text contact money text,"Felicitaciones, recibió un suministro de CD para un año de Virgin Records o un regalo misterioso GARANTIZADO Llame al 09061104283 Ts&Cs www.smsco.net £1.50 pm aproximadamente 3 minutos"
2,417,1,1,0,text caps caps text contact text contact text,"Para tener la oportunidad de ganar £ 250 en efectivo cada semana TXT: ACCIÓN al 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/semana."
2,419,1,1,0,text money text contact text caps text contact,UÛªve Bin recibe £50 por jugar 4 Instant Cash. Llame al 08715203028 para reclamar. CADA noveno jugador gana un mínimo de £ 50 a £ 500. Optar por no participar 08718727870
2,431,0,1,0,text caps caps caps caps caps,"El signo de madurez no es cuando empezamos a decir grandes cosas.. Pero en realidad sí lo es, cuando empezamos a comprender las pequeñas cosas... *TENGA UNA BUENA TARDE* BSLVYL"
2,458,1,1,0,text caps text contact,"Gracias, ganador notificado por sms. ¡Buena suerte! No hay respuesta de marketing futura STOP al 84122 servicios al cliente 08450542832"
2,459,1,1,0,text contact text caps text contact text,"+123 Felicitaciones: en el sorteo del concurso de esta semana, ganó el premio de £ 1450. Para reclamarlo, simplemente llame al 09050002311 b4280703. Términos y condiciones/SMS de parada 08718727868. Mayores de 18 años solo 150 ppm"
2,476,0,1,0,caps text caps caps text caps,¿ESTÁS EN LA CIUDAD? ESTO ES V. IMPORTANTE
2,478,1,1,0,text money text caps caps text contact text contact text,"Para tener la oportunidad de ganar £250 en efectivo cada semana TXT: JUGAR al 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/semana."
2,483,0,1,0,text money text money text money,Cuesta sólo $140 ard...Ìä resto todo y $180 al menos...que es Ì© precio 4 Ì© 2 dormitorios ($900)
2,501,1,1,0,caps text caps text caps text caps text caps text caps caps caps caps caps text caps text caps caps caps text caps caps caps text money text caps money,PREGUNTE A 3MOBILE SI LAS LÍNEAS DE CHAT 0870 INCLUYEN EN MINUTOS GRATIS. INDIA CUST SERVs SED SÍ. L8ER OBTUVO MEGA FACTURA. 3 NO TE IMPORTA. ALGUACIL VENCE EN DÍAS. I O å£250 3 QUIERO å£800
2,516,1,1,0,text contact text,¿Quieres el último teléfono con vídeo? 750 en cualquier momento ¿algún minuto de red? ¿Alquiler de línea a mitad de precio? Responde o llama al 08000930705 para entrega mañana
2,533,1,1,0,text contact text,FreeMsg ¡Hoy es el día si estás listo! Estoy cachonda y vivo en tu ciudad. ¡Me encanta la diversión y los juegos sexuales! Netcollex Ltd 08700621170150p por respuesta de mensaje De parada a fin
2,534,1,1,0,text contact text,"¡Felicitaciones! 2 Videoteléfonos móviles 3G R tuyos. llama al 09063458130 ahora! Chatea por video con tus amigos, juega juegos java, descarga música PolyPH, no hay alquiler en línea."
2,542,1,1,0,text caps text money text,"Mila, 23 años, rubia, nueva en Reino Unido. Busco sexo con chicos del Reino Unido. si te gusta divertirte conmigo. Envíe MTALK al 69866.18. 30pp/txt 1º 5gratis. En incrementos de £1,50. Ayuda08718728876"
2,544,0,1,0,caps caps text caps text caps caps caps caps text caps text caps caps caps caps caps text caps caps caps caps caps text caps text,"HEY CHICA. ¿CÓMO ESTÁS? ¡ESPERO QUE ERES BIEN, YO Y DEL R BAK! ¡OTRA VEZ MUCHO TIEMPO NO C! DAME UNA LLAMADA SUM TIME DE LUCYxx"
2,546,1,1,0,text caps text caps text caps caps caps text contact text caps text,"SU OPORTUNIDAD DE ESTAR EN UN REALITY FANTASY SHOW llame ahora = 08707509020 Solo 20 peniques por minuto NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 es una llamada nacional = tarifa"
2,547,0,1,0,caps text caps caps caps caps text caps caps text caps text caps caps caps text caps text caps text caps caps caps text caps caps,"\¡CHEERS U TEX PORQUE ESTABAS ABORDADO! SÍ OKDEN HUNNY R UIN WK SAT? SOUNDåÕS COMO TU HAVIN GR8FUN J! MANTÉN ACTUALIZADO CONTANDO LOTES DE LOVEME XXXXX.\"""""
2,565,1,1,0,text caps text contact,"¡Jamster! Para obtener su fondo de pantalla gratuito, envíe un mensaje de texto con CORAZÓN al 88888 ahora. Se aplican términos y condiciones. 16 solamente. ¿Necesitas ayuda? Llame al 08701213186."
2,577,0,1,0,text caps caps text caps caps text,Yo (Career Tel) te agregué como contacto en INDYAROCKS.COM para enviar SMS GRATIS. Para eliminar de la agenda: envíe un mensaje de texto NO a &lt;#&gt;
2,580,1,1,0,text contact text caps text money text caps text,"Soy nuevo 2 club y no creo que nos hayamos conocido todavía Will B gr8 2 C U Por favor, deje un mensaje 2 días en su área 09099726553 respuesta prometida CARLIE x Callså£1/minMobsmore LKPOBOX177HP51FL"
2,594,1,1,0,caps text money caps text contact text,¡URGENTE! Estamos intentando comunicarnos con U. El sorteo de hoy muestra que usted ganó un premio de £2000 GARANTIZADO. Llamar al 09058094507 desde teléfono fijo. Reclamo 3030. Válido solo 12 horas
2,596,1,1,0,text caps text contact,"CD 4u: Felicitaciones, recibió 500 £ en vales de regalo de CD o 125 £ de regalo garantizado y entrada gratuita 2. Sorteo semanal de 100 £ xt MUSIC a 87066 TnC www.ldew.com1win150ppmx3age16"
2,602,1,1,0,text contact text,Update_Now - Alquiler de línea naranja a mitad de precio por 12 meses: 400 minutos...Llame a MobileUpd8 al 08000839402 o call2optout=J5Q
2,611,1,1,0,text contact,Tienes 1 mensaje nuevo. Por favor llame al 08718738034.
2,624,1,1,0,text caps text contact text,"Premio falso de £ 350: los números de Voda de hoy que terminan en XXXX se seleccionan para recibir un premio de £ 350. Si tiene una coincidencia, llame al 08712300220 citando el código de reclamo 3100 aplicación de tarifas estándar"
2,635,1,1,0,text money text contact caps text money text,¡El premio Urgent Ur å£500 garantizado aún no ha sido reclamado! Llame al 09066368327 AHORA fecha de cierre 09/04/02 código de reclamo M39M51 å £1.50 pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
2,640,1,1,0,text contact text,Teléfonos con cámara de video gratis con alquiler de línea a mitad de precio por 12 meses y 500 ntwk min 100 txts. Llame a MobileUpd8 08001950382 o Call2OptOut/674
2,652,0,1,0,caps caps text caps text caps text caps caps text,"HOLA BEBÉ, ¿CÓMO ESTÁS? WOT U UP 2 2NITE AMO ANNIE X."
2,679,1,1,0,caps text caps caps text caps text contact text money text,"TONO DE LLAMADA GRATIS solo envía un mensaje de texto con la palabra \POLYS\"" al 87131. Luego, cada semana recibe un nuevo tono. 0870737910216 años solo £1,50/semana""."
2,681,1,1,0,text contact text caps text,"¡Felicitaciones! El pase de cine especial de 1 año para 2 es tuyo. llama al 09061209465 ahora! C Suprman V, Matrix3, StarWars3, etc. ¡los 4 GRATIS! bx420-ip4-5we. 150 h. ¡No te lo pierdas!"
2,687,1,1,0,caps text caps text contact text caps text,"¡URGENTE! ¡Su móvil número 07xxxxxxxxx ganó un premio adicional de £ 2000 para quien llamó el 06/02/03! ¡Este es el segundo intento de comunicarnos con USTED! llama al 09066362231 lo antes posible! CAJA97N7QP, 150PPM"
2,690,1,1,0,text contact text caps,"Obtenga 3 tonos de Lions England, responda lionm 4 mono o lionp 4 poli. 4 más van 2 www.ringtones.co.uk, el original y el mejor. Tonos Se aplican tarifas de operador de red de 3 GBP."
2,694,0,1,0,caps caps caps caps caps text caps text caps text caps text caps text,\¿PUEDO POR FAVOR SUBIR AHORA A LA CIUDAD? NO IMPORTA SI URGO EN OUTL8R
2,698,0,1,0,caps caps caps text caps caps caps,¡¡TENGO UNA CITA EL DOMINGO CON WILL!!
2,701,1,1,0,text contact text,Teléfonos con cámara de video gratis con alquiler de línea a mitad de precio por 12 meses y 500 ntwk min 100 txts. Llame a MobileUpd8 08001950382 o Call2OptOut/674&
2,710,1,1,0,text contact text,"Gracias por su pedido de tono de llamada, número de referencia X49. Tu móvil se cargará 4,50. Si su tono no llega, llame a atención al cliente 09065989182. De: [color=rojo]texto[/color]TXTstar"
2,716,1,1,0,text caps text contact,"La oferta líder actual es 151. Para pausar esta subasta, envíe FUERA. Atención al cliente: 08718726270"
2,717,1,1,0,caps text caps text caps text contact caps contact text,URGENTE Este es nuestro segundo intento de comunicarnos con U. Su premio de £ 900 de AYER todavía está pendiente de ser recogido. Para reclamar LLAMA YA 09061702893. ACL03530150PM
2,725,0,1,0,caps text caps text caps text caps text caps text caps caps text caps text caps caps text caps,JADE SU PABLO. ¿NO ME ENVIÓ UN MENSAJE? ¿ME RECUERDAS DE BARMED? ¡QUIERO 2 HABLAR 2 U! ENVÍAME UN MENSAJE
2,732,1,1,0,text money text caps caps text,Block Breaker ahora viene en formato de lujo con nuevas funciones y excelentes gráficos de T-Mobile. Compra por solo £5 respondiendo GET BBDELUXE y acepta el desafío
2,742,1,1,0,caps text contact text,LLAME al 08712402902 inmediatamente ya que hay un mensaje urgente esperándolo.
2,743,1,1,0,text caps text caps caps text,"Anima a tu multitud con una colección de Halloween del logotipo y mensaje de Nokia, además de un tono espeluznante GRATIS, envía un mensaje de texto con CARD SPOOK al 8007"
2,745,1,1,0,caps caps caps caps text caps text money text contact text,¡ESTÁ ELEGIDO PARA RECIBIR UN PREMIO DE £350! Llame al número de reclamo 09066364311 para cobrar el premio que ha sido seleccionado para recibir como un valioso cliente móvil.
2,754,1,1,0,text money money text contact text,"Préstamo para cualquier propósito å£500 - å£75.000. Se admiten propietarios e inquilinos. ¿Le han rechazado anteriormente? Todavía podemos ayudar. Llame gratis al 0800 1956669 o envíe un mensaje de texto con ""ayuda"""
2,757,1,1,0,text contact,Actualmente tenemos un mensaje esperando su colección. Para recoger su mensaje simplemente llame al 08718723815.
2,765,1,1,0,text contact text,¡Alguien ha contactado con nuestro servicio de citas y ha entrado en tu teléfono porque le gustas! Para saber quién es llama desde el teléfono fijo 09111030116. PoBox12n146tf15
2,769,1,1,0,text caps text caps text caps text,"Mensaje gratuito: ¡Jamster! ¡Obtén el sonido de la rana loca ahora! Para texto poli MAD1, para texto real MAD2 a 88888. ¡6 sonidos locos por solo 3 GBP/semana! ¡Sólo para mayores de 16 años! Se aplican términos y condiciones"
2,776,1,1,0,caps text caps text caps text money text contact,"¡USTED HA GANADO! Como valioso cliente de Vodafone, nuestro ordenador le ha elegido a USTED para ganar un premio de £150. Coleccionar es fácil. Solo llama al 09061743386"
2,781,1,1,0,text contact,Usted es un ganador U ha sido seleccionado especialmente 2 reciba £ 1000 en efectivo o unas vacaciones 4* (vuelos incluidos) hable con un operador en vivo 2 reclame 0871277810810
2,786,1,1,0,text contact caps text,"Esta es la segunda vez que intentamos contactarte. Has ganado el premio de 750 libras esterlinas. 2 reclamar es fácil, llama al 087187272008 AHORA1! Sólo 10p por minuto. BT-tarifa-nacional."
2,788,1,1,0,text caps text caps caps caps caps text caps text caps text,"(Bank of Granite emite compra fuerte) SELECCIÓN EXPLOSIVA PARA NUESTROS MIEMBROS ***** MÁS DEL 300% ************ Símbolo Nasdaq CDGT Eso es $ 5,00 por .."
2,790,1,1,0,text caps text money text caps text money text,UR otorgó un City Break y podría GANAR unas compras de verano de £200 cada semana. Envíe un mensaje de texto con TIENDA al 88039. Habilidad. TsCs087147403231Winawk!Edad16 å£1.50porWKsub
2,803,1,1,0,contact text,08714712388 entre 10am-7pm Costo 10p
2,810,1,1,0,text contact text,Le dice que llame al 09066358152 para reclamar un premio de £ 5000. Tienes que ingresar todos tus datos móviles y personales en las indicaciones. ¡Cuidadoso!
2,815,1,1,0,text caps text caps text caps text caps text contact caps text,Gran NUEVA Oferta: DOBLE Minutos y DOBLE Texto con las mejores tarifas de Orange ¡Y obtenga los últimos teléfonos con cámara 4 GRATIS! ¡Llame a MobileUpd8 gratis al 08000839402 AHORA! o 2stoptxt Términos y condiciones
2,825,1,1,0,caps caps caps text money text contact caps text caps text,¡ALERTA HERMANO MAYOR! La computadora te ha seleccionado para recibir 10.000 en efectivo o un vale de 150 €. Llame al 09064018838. NTT PO Box CRO1327 18+ BT Línea fija El costo de los móviles de 150 ppm varía
2,836,0,1,0,text caps text caps text caps,"Honeybee dijo: *Soy la más dulce del mundo* Dios se rió y se rió. Dijo: *Espera, no has conocido a la persona que lee este mensaje* MORAL: ¡Incluso DIOS puede hacer chistes! GM+GN+GE+GN :)"
2,870,1,1,0,caps caps text contact text caps text caps caps text,-PLS STOP bootydelious (32/F) te está invitando a ser su amiga. Responde SÍ-434 o NO-434 Verla: www.SMS.ac/u/bootydelious ¿PARAR? Enviar STOP FRND al 62468
2,871,1,1,0,text contact text caps text caps text caps text,Hace tiempo que no sé nada de U4. Llame a 4 línea privada de chat grosero 01223585334 para correrse. Wan 2C fotos mías follándome y luego envía un mensaje de texto con PIX al 8552. 2Finalizar envío STOP 8552 SAM xxx
2,882,1,1,0,text caps text caps text caps text caps text caps caps text money,"¡Bien hecho INGLATERRA! ¡Obtén el tono de llamada oficial de Poly o la bandera de color en tu móvil! ¡Envíe un mensaje de texto con TONO o BANDERA al 84199 AHORA! Optar por no participar txt ENG STOP. Caja39822 W111WX €1,50"
2,884,1,1,0,text caps caps caps text,¿Adivina quién soy? Esta es la primera vez que creo una página web WWW.ASJESUS.COM leí todo lo que escribí. Estoy esperando vuestras opiniones. quiero ser tu amigo 1/1
2,900,1,1,0,text money text caps text caps text,"¡Tiene garantizado el último teléfono Nokia, un reproductor iPod MP3 de 40 GB o un premio de £500! Palabra de texto: RECOGER al No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
2,913,1,1,0,text caps caps caps text caps text,"Llame a nuestro representante de servicio al cliente al TELÉFONO GRATUITO 0808 145 4742 entre las 9 a. m. y las 11 p. m., ya que HA GANADO un premio garantizado de £ 1000 en efectivo o £ 5000."
2,916,1,1,0,text contact,Alerta de llamada perdida. Estos números llamaron pero no dejaron mensaje. 07008009200
2,917,0,1,0,caps caps text caps caps text caps,LLEGO TARDE SEÑORITA ESTOY EN CAMINO
2,925,1,1,0,caps text contact text caps text contact text,¡PRIVADO! Su estado de cuenta de 2003 para 07815296484 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08718738001 Código Identificador 41782 Vence el 18/11/04
2,927,1,1,0,text caps text contact caps text caps text caps text,"Su saldo de efectivo es actualmente de 500 libras; para maximizar su ingreso de efectivo, ahora envíe EFECTIVO al 86688 solo 150 peniques/mensaje. CC: 08718720201 APARTADO DE CORREOS 114/14 TCR/W1"
2,928,1,1,0,caps text money caps text contact text,¡URGENTE! Estamos intentando comunicarnos con U. El sorteo de hoy muestra que usted ganó un premio de £800 GARANTIZADO. Llamar al 09050001808 desde teléfono fijo. Reclama M95. Válido sólo 12 horas
2,930,1,1,0,text money text contact,"Nuestro número de móvil ha ganado £5000. Para reclamar, llámenos o llame a la línea directa de reclamaciones al 09050005321."
2,970,0,1,0,text caps text caps caps text caps text,"Macha, no te sientas molesta. Puedo asumir tu forma de pensar. Créeme una noche conmigo y tengo algunos planes maravillosos para los dos. QUE LA VIDA COMIENCE DE NUEVO. Llámame en cualquier momento."
2,988,0,1,0,caps caps text caps text caps text caps text caps text,REALMENTE NECESITO 2 BESO U TE EXTRAÑO MI BEBÉ DE UR BEBÉ 4EVA
2,992,0,1,0,caps text caps caps caps caps,ESTE ES UN PUTO ESPECTÁCULO LARGO
2,1002,0,1,0,caps text caps text caps,ESTOY EN LA GASOLINERA. VE ALLÍ.
2,1010,1,1,0,text caps text contact text,"¿Quieres mejorar tu teléfono con un nuevo tono semanal? Responde TONES2U 2 a este mensaje de texto. www.ringtones.co.uk, el mejor y original. Se aplican tarifas de operador de red de Tones 3GBP"
2,1019,0,1,0,text caps text caps caps,Tenga en cuenta: si alguien llama desde un teléfono móvil Co. &amp; le pide que escriba # &lt;#&gt; o # &lt;#&gt; . No lo hagas. Desconecta la llamada porque es un intento de 'terrorista' de hacer uso de la tarjeta SIM no. Itz confirmado por Nokia y Motorola y ha sido verificado por CNN IBN.
2,1023,0,1,0,caps text caps caps caps text caps caps,"\GRAN SÓLO SE DESCUENTÓ HACE UNOS DÍAS.CUSOON HONI\"""""
2,1032,1,1,0,text contact,Tienes 1 mensaje nuevo. Por favor llame al 08712400200.
2,1038,1,1,0,text contact text,¡Papá Noel llamando! ¿A tus pequeños les gustaría recibir una llamada de Nochebuena? Llama al 09058094583 para reservar tu hora.
2,1042,1,1,0,text contact text caps text,¡Adivina qué! ¡A alguien que conoces le gustas en secreto! ¿Quieres saber quién es? Llámanos al 09065394973 desde el teléfono fijo DATEBox1282EssexCM61XN 150p/min 18
